"Entrez","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Symbol"
"102724985","ENSG00000179889",10.618,10.727,10.672,3.197,3.727e-25,1.933e-22,"PDXDC1"
"9129","ENSG00000117360",9.427,9.409,9.418,3.326,2.541e-24,1.28e-21,"PRPF3"
"84572","ENSG00000090581",10.388,10.532,10.46,-1.246,3.624e-24,1.776e-21,"GNPTG"
"113","ENSG00000121281",8.484,8.481,8.483,2.139,2.239e-23,1.039e-20,"ADCY7"
"11279","ENSG00000102349",7.725,7.676,7.701,1.629,3.294e-23,1.489e-20,"KLF8"
"2070","ENSG00000112319",9.281,9.748,9.515,2.687,6.309e-23,2.782e-20,"EYA4"
"284349","ENSG00000167637",7.846,8.014,7.93,-2.761,7.075e-23,3.043e-20,"ZNF283"
"338692","ENSG00000172932",8.917,8.837,8.877,-0.946,1.858e-22,7.621e-20,"ANKRD13D"
"100506540","ENSG00000247595",6.872,6.649,6.76,2.338,2.73e-22,1.094e-19,"SPTY2D1OS"
"4067","ENSG00000254087",8.206,7.838,8.022,-1.262,3.618e-22,1.418e-19,"LYN"
"2796","ENSG00000147437",7.895,7.595,7.745,-1.063,4.486e-22,1.72e-19,"GNRH1"
"8434","ENSG00000122707",13.342,13.585,13.464,0.85,6.085e-22,2.283e-19,"RECK"
"114784","ENSG00000121904",10.071,9.766,9.918,1.212,1.09e-21,4.006e-19,"CSMD2"
"4884","ENSG00000171246",6.692,6.894,6.793,-1.91,1.207e-21,4.343e-19,"NPTX1"
"5354","ENSG00000123560",6.57,6.69,6.63,2.274,4.441e-21,1.506e-18,"PLP1"
"26524","ENSG00000150457",11.363,11.216,11.289,-1.978,6.058e-21,2.016e-18,"LATS2"
"283571","ENSG00000119608",6.774,6.784,6.779,1.022,7.323e-21,2.392e-18,"PROX2"
"79085","ENSG00000125648",10.704,10.733,10.719,2.17,1.115e-20,3.576e-18,"SLC25A23"
"64284","ENSG00000124839",6.644,6.437,6.541,3.366,2.019e-20,6.358e-18,"RAB17"
"4053","ENSG00000119681",14.755,14.956,14.855,-2.341,2.815e-20,8.709e-18,"LTBP2"
"221262","ENSG00000203799",6.745,6.645,6.695,2.035,6.675e-20,1.995e-17,"CCDC162P"
"22872","ENSG00000138674",13.036,13.233,13.134,1.271,1.334e-19,3.922e-17,"SEC31A"
"3998","ENSG00000074695",11.815,12.035,11.925,1.517,1.927e-19,5.571e-17,"LMAN1"
"55659","ENSG00000083817",7.669,7.852,7.761,1.14,2.287e-19,6.506e-17,"ZNF416"
"255082","ENSG00000177640",7.303,7.263,7.283,1.602,3.222e-19,8.879e-17,"CASC2"
"150297","ENSG00000205856",6.289,6.31,6.299,-0.967,3.181e-19,8.879e-17,"C22orf42"
"5648","ENSG00000127241",12.809,13.067,12.938,1.472,3.864e-19,1.049e-16,"MASP1"
"10953","ENSG00000025772",9.574,9.971,9.773,1.06,5.102e-19,1.343e-16,"TOMM34"
"6586","ENSG00000184347",13.888,13.988,13.938,2.168,8.257e-19,2.111e-16,"SLIT3"
"4485","ENSG00000173531",8.724,8.765,8.745,1.375,9.778e-19,2.464e-16,"MST1"
"377007","ENSG00000168427",6.918,6.727,6.823,3.765,1.424e-18,3.538e-16,"KLHL30"
"8880","ENSG00000162613",10.619,10.564,10.591,-1.095,1.506e-18,3.689e-16,"FUBP1"
"9255","ENSG00000164022",9.897,9.904,9.901,-1.191,1.605e-18,3.878e-16,"AIMP1"
"105369302","ENSG00000229425",6.698,6.707,6.702,9.61,2.052e-18,4.891e-16,"AJ009632.2"
"11096","ENSG00000154736",12.567,10.387,11.477,1.178,2.39e-18,5.619e-16,"ADAMTS5"
"1044","ENSG00000113722",6.732,6.817,6.774,5.926,3.952e-18,9.172e-16,"CDX1"
"84725","ENSG00000106086",9.456,8.95,9.203,-1.688,4.441e-18,1.004e-15,"PLEKHA8"
"27244","ENSG00000080546",9.621,9.866,9.743,1.999,6.128e-18,1.368e-15,"SESN1"
"101730217","ENSG00000258555",7.13,6.967,7.048,1.478,6.999e-18,1.524e-15,"SPECC1L-ADORA2A"
"79587","ENSG00000134905",10.132,9.788,9.96,-2.154,1.453e-17,3.087e-15,"CARS2"
"10483","ENSG00000101310",9.281,9.32,9.3,1.374,1.704e-17,3.579e-15,"SEC23B"
"165","ENSG00000106624",13.423,13.58,13.501,1.506,1.991e-17,4.132e-15,"AEBP1"
"199221","ENSG00000158163",8.182,8.004,8.093,2.433,2.46e-17,5.046e-15,"DZIP1L"
"10228","ENSG00000135823",10.349,9.919,10.134,2.242,3.063e-17,6.21e-15,"STX6"
"29803","ENSG00000214022",9.984,9.996,9.99,-0.787,3.943e-17,7.902e-15,"REPIN1"
"57620","ENSG00000109689",9.778,10.657,10.217,0.979,4.388e-17,8.696e-15,"STIM2"
"4015","ENSG00000113083",13.946,13.574,13.76,1.117,4.844e-17,9.492e-15,"LOX"
"169981","ENSG00000204271",8.782,8.885,8.833,1.998,5.655e-17,1.096e-14,"SPIN3"
"7503","ENSG00000229807",7.988,7.961,7.975,1.354,6.713e-17,1.287e-14,"XIST"
"4093","ENSG00000120693",9.08,9.201,9.14,1.477,7.279e-17,1.38e-14,"SMAD9"
"1056","ENSG00000170835",6.886,6.939,6.913,2.314,9.914e-17,1.86e-14,"CEL"
"101928694","ENSG00000259293",6.255,6.357,6.306,1.271,1.185e-16,2.2e-14,"LIPC-AS1"
"143678","ENSG00000234776",6.49,6.456,6.473,0.946,2.051e-16,3.767e-14,"C11orf94"
"2983","ENSG00000061918",10.697,10.78,10.738,0.825,2.146e-16,3.903e-14,"GUCY1B1"
"152206","ENSG00000244607",7.047,6.838,6.943,2.462,2.31e-16,4.158e-14,"CCDC13"
"116039","ENSG00000164920",11.74,12.497,12.119,-1.171,1.001e-15,1.749e-13,"OSR2"
"6165","ENSG00000182899",12.441,12.432,12.436,0.901,1.064e-15,1.839e-13,"RPL35A"
"100287175","ENSG00000172366",7.836,7.818,7.827,3.822,1.095e-15,1.875e-13,"MCRIP2"
"1198","ENSG00000179335",9.868,9.876,9.872,3.805,1.321e-15,2.24e-13,"CLK3"
"80832","ENSG00000100336",7.533,7.612,7.572,-2.581,1.475e-15,2.453e-13,"APOL4"
"221443","ENSG00000124596",8.952,8.843,8.898,0.715,1.534e-15,2.528e-13,"OARD1"
"105372824","ENSG00000160209",11.124,11.002,11.063,1.983,1.704e-15,2.783e-13,"PDXK"
"6143","ENSG00000108298",14.074,14.136,14.105,-2.399,1.798e-15,2.909e-13,"RPL19"
"64710","ENSG00000069275",12.333,12.686,12.509,1.098,2.263e-15,3.628e-13,"NUCKS1"
"64172","ENSG00000128694",7.676,7.912,7.794,1.549,2.321e-15,3.688e-13,"OSGEPL1"
"90861","ENSG00000206053",9.366,9.409,9.387,-1.664,3.213e-15,5.06e-13,"JPT2"
"5145","ENSG00000132915",6.594,6.692,6.643,1.491,3.375e-15,5.268e-13,"PDE6A"
"57613","ENSG00000084444",8.804,8.447,8.625,1.282,3.551e-15,5.494e-13,"FAM234B"
"84924","ENSG00000186017",7.992,8.254,8.123,-2.686,4.492e-15,6.889e-13,"ZNF566"
"100286979","ENSG00000233673",6.22,6.309,6.265,-0.669,5.104e-15,7.76e-13,"ANAPC1P1"
"55906","ENSG00000126970",8.101,8.447,8.274,1.331,5.453e-15,8.22e-13,"ZC4H2"
"8288","ENSG00000121053",6.397,6.38,6.388,1.939,6.155e-15,9.199e-13,"EPX"
"11277","ENSG00000213689",7.727,7.878,7.803,-2.596,7.299e-15,1.082e-12,"TREX1"
"101929163","ENSG00000225914",8.086,8.15,8.118,1.031,8.1e-15,1.19e-12,"HCG23"
"89797","ENSG00000166833",11.507,11.752,11.63,1.183,8.715e-15,1.27e-12,"NAV2"
"78990","ENSG00000089723",7.192,7.4,7.296,2.026,1.584e-14,2.29e-12,"OTUB2"
"100873989","ENSG00000255082",6.304,6.421,6.362,0.678,1.614e-14,2.314e-12,"GRM5-AS1"
"51520","ENSG00000133706",10.935,10.965,10.95,1.122,1.71e-14,2.433e-12,"LARS"
"83592","ENSG00000165568",6.911,6.928,6.92,1.458,1.967e-14,2.775e-12,"AKR1E2"
"168667","ENSG00000164619",8.637,9.882,9.259,0.729,2.535e-14,3.548e-12,"BMPER"
"121536","ENSG00000139154",9.557,9.83,9.694,0.616,3.298e-14,4.575e-12,"AEBP2"
"157693","ENSG00000182366",6.293,6.311,6.302,1.189,3.444e-14,4.708e-12,"FAM87A"
"85378","ENSG00000128159",10.422,10.165,10.294,0.748,3.981e-14,5.402e-12,"TUBGCP6"
"54906","ENSG00000108021",10.408,10.535,10.471,-1.115,4.845e-14,6.524e-12,"FAM208B"
"9729","ENSG00000189367",8.839,7.969,8.404,1.236,7.249e-14,9.686e-12,"KIAA0408"
"122622","ENSG00000185100",7.84,8.245,8.043,0.768,8.473e-14,1.124e-11,"ADSSL1"
"51762","ENSG00000166128",11.361,11.411,11.386,1.922,8.603e-14,1.132e-11,"RAB8B"
"6634","ENSG00000100028",9.74,9.871,9.806,1.206,1.072e-13,1.401e-11,"SNRPD3"
"26094","ENSG00000119599",8.155,8.387,8.271,1.563,1.08e-13,1.401e-11,"DCAF4"
"109504726","ENSG00000152926",8.895,9.383,9.139,0.878,1.422e-13,1.83e-11,"ZNF117"
"116254","ENSG00000055211",11.418,11.143,11.281,1.064,1.52e-13,1.943e-11,"GINM1"
"23113","ENSG00000112659",9.578,9.754,9.666,1.515,1.576e-13,2e-11,"CUL9"
"84376","ENSG00000168172",10.73,10.464,10.597,2.717,1.868e-13,2.353e-11,"HOOK3"
"100533970","ENSG00000257950",7.196,7.065,7.13,1.122,1.963e-13,2.456e-11,"P2RX5-TAX1BP3"
"10443","ENSG00000244754",10.715,10.756,10.736,-2.484,2.195e-13,2.727e-11,"N4BP2L2"
"347902","ENSG00000139211",8.556,8.313,8.435,-1.576,2.955e-13,3.645e-11,"AMIGO2"
"196394","ENSG00000151743",7.251,7.525,7.388,0.686,4.638e-13,5.681e-11,"AMN1"
"284119","ENSG00000177469",14.544,13.879,14.212,-0.689,4.793e-13,5.83e-11,"CAVIN1"
"285116","ENSG00000226121",6.864,6.455,6.659,1.672,5.934e-13,7.169e-11,"AHCTF1P1"
"55901","ENSG00000136114",7.928,7.783,7.856,3.955,6.528e-13,7.833e-11,"THSD1"
"23149","ENSG00000130475",6.71,6.932,6.821,-1.864,6.849e-13,8.162e-11,"FCHO1"
"221468","ENSG00000172738",6.976,7.547,7.262,0.794,8.009e-13,9.48e-11,"TMEM217"
"9507","ENSG00000158859",7.562,7.492,7.527,-2.157,9.402e-13,1.098e-10,"ADAMTS4"
"106660613","ENSG00000283352",7.11,7.342,7.226,1.633,9.67e-13,1.122e-10,"LINC00680-GUSBP4"
"25895","ENSG00000123427",8.107,8.138,8.123,1.24,1.003e-12,1.149e-10,"EEF1AKMT3"
"203430","ENSG00000179300",7.901,6.708,7.304,0.699,1.117e-12,1.271e-10,"RTL3"
"26512","ENSG00000102786",9.67,9.589,9.63,0.809,1.314e-12,1.476e-10,"INTS6"
"22913","ENSG00000125970",10.864,11.259,11.062,0.79,1.413e-12,1.578e-10,"RALY"
"6051","ENSG00000176393",10.527,10.715,10.621,1.103,1.599e-12,1.763e-10,"RNPEP"
"137886","ENSG00000215114",9.096,9.307,9.201,1.296,1.699e-12,1.861e-10,"UBXN2B"
"84329","ENSG00000122986",7.63,7.637,7.633,1.147,1.955e-12,2.129e-10,"HVCN1"
"399821","ENSG00000224023",6.745,7.033,6.889,-1.059,1.979e-12,2.141e-10,"FLJ37035"
"84961","ENSG00000108306",9.253,9.477,9.365,3.677,2.472e-12,2.659e-10,"FBXL20"
"91947","ENSG00000140450",10.102,10.74,10.421,1.606,2.763e-12,2.935e-10,"ARRDC4"
"3980","ENSG00000005156",8.509,8.801,8.655,1.285,2.757e-12,2.935e-10,"LIG3"
"56833","ENSG00000158714",6.57,6.16,6.365,2.08,3.044e-12,3.215e-10,"SLAMF8"
"105372482","ENSG00000268516",7.355,7.413,7.384,1.016,3.188e-12,3.346e-10,"AC020915.3"
"91607","ENSG00000172716",10.184,10.284,10.234,-1.703,3.373e-12,3.52e-10,"SLFN11"
"10765","ENSG00000117139",11.004,11.159,11.082,-1.097,3.891e-12,4.013e-10,"KDM5B"
"399979","ENSG00000120451",11.758,11.729,11.743,1.246,4.404e-12,4.516e-10,"SNX19"
"150771","ENSG00000198885",7.408,7.351,7.38,-1.225,4.896e-12,4.962e-10,"ITPRIPL1"
"729857","ENSG00000185304",7.714,7.744,7.729,-1.126,5.075e-12,5.115e-10,"RGPD2"
"10672","ENSG00000120063",10.375,10.289,10.332,1.906,5.189e-12,5.2e-10,"GNA13"
"9955","ENSG00000153976",8.153,7.965,8.059,-2.442,5.338e-12,5.319e-10,"HS3ST3A1"
"10675","ENSG00000114646",6.297,6.414,6.356,4.898,6.102e-12,6.046e-10,"CSPG5"
"116835","ENSG00000132622",6.951,7.801,7.376,1.044,6.252e-12,6.16e-10,"HSPA12B"
"4692","ENSG00000182636",10.551,10.689,10.62,0.812,6.91e-12,6.733e-10,"NDN"
"6550","ENSG00000066230",7.609,7.807,7.708,1.033,6.896e-12,6.733e-10,"SLC9A3"
"57710","ENSG00000135835",9.311,9.265,9.288,-0.739,7.358e-12,7.131e-10,"KIAA1614"
"5212","ENSG00000205221",8.335,8.115,8.225,-1.077,7.618e-12,7.342e-10,"VIT"
"83941","ENSG00000162604",10.129,9.617,9.873,0.977,7.804e-12,7.44e-10,"TM2D1"
"7434","ENSG00000106018",6.758,6.541,6.649,-1.288,7.762e-12,7.44e-10,"VIPR2"
"51016","ENSG00000100908",7.651,7.66,7.655,1.216,8.079e-12,7.66e-10,"EMC9"
"27120","ENSG00000104901",6.413,6.5,6.457,1.065,9.406e-12,8.872e-10,"DKKL1"
"60","ENSG00000075624",16.757,15.854,16.306,-2.2,9.461e-12,8.876e-10,"ACTB"
"29889","ENSG00000134697",10.329,9.889,10.109,1.03,9.855e-12,9.197e-10,"GNL2"
"55671","ENSG00000100796",10.18,10.28,10.23,1.06,1.043e-11,9.683e-10,"PPP4R3A"
"101929567","ENSG00000236008",7.437,7.382,7.409,-1.01,1.3e-11,1.194e-09,"LINC01814"
"800","ENSG00000122786",14.775,14.055,14.415,1.745,1.37e-11,1.252e-09,"CALD1"
"80199","ENSG00000010361",8.565,8.414,8.489,2.245,1.65e-11,1.493e-09,"FUZ"
"55619","ENSG00000135905",9.403,9.257,9.33,1.389,1.841e-11,1.657e-09,"DOCK10"
"9321","ENSG00000100815",10.541,10.676,10.609,1.624,1.939e-11,1.736e-09,"TRIP11"
"113157","ENSG00000243742",6.711,7.267,6.989,0.989,2.137e-11,1.903e-09,"RPLP0P2"
"80024","ENSG00000089060",10.223,9.778,10.001,0.716,2.187e-11,1.929e-09,"SLC8B1"
"1315","ENSG00000129083",12.213,12.025,12.119,0.969,2.18e-11,1.929e-09,"COPB1"
"23426","ENSG00000155974",6.526,6.475,6.501,1.041,2.234e-11,1.961e-09,"GRIP1"
"222865","ENSG00000166448",8.205,8.584,8.394,0.738,2.449e-11,2.138e-09,"TMEM130"
"3090","ENSG00000177374",9.876,9.968,9.922,1.002,2.974e-11,2.563e-09,"HIC1"
"64077","ENSG00000107902",8.348,8.57,8.459,1.374,2.986e-11,2.563e-09,"LHPP"
"7922","ENSG00000112473",11.552,11.772,11.662,-0.904,3.114e-11,2.653e-09,"SLC39A7"
"8633","ENSG00000182168",6.753,6.849,6.801,1.422,4.033e-11,3.387e-09,"UNC5C"
"5792","ENSG00000142949",11.015,11.237,11.126,-1.868,4.338e-11,3.626e-09,"PTPRF"
"91574","ENSG00000130921",8.696,8.956,8.826,-1.461,5.024e-11,4.18e-09,"C12orf65"
"51060","ENSG00000117862",9.98,9.785,9.882,0.728,5.304e-11,4.392e-09,"TXNDC12"
"222698","ENSG00000189134",6.928,6.885,6.906,1.183,5.54e-11,4.566e-09,"NKAPL"
"10126","ENSG00000100246",8.538,8.587,8.562,-3.12,5.933e-11,4.867e-09,"DNAL4"
"8395","ENSG00000107242",6.32,6.241,6.28,1.177,7.835e-11,6.368e-09,"PIP5K1B"
"118987","ENSG00000165650",10.29,10.265,10.278,-2.623,7.833e-11,6.368e-09,"PDZD8"
"51222","ENSG00000165804",9.713,9.781,9.747,-1.099,7.925e-11,6.412e-09,"ZNF219"
"148418","ENSG00000203943",6.662,6.97,6.816,-0.586,8.137e-11,6.523e-09,"SAMD13"
"84693","ENSG00000124370",7.968,8.201,8.084,2.728,8.929e-11,7.093e-09,"MCEE"
"4055","ENSG00000111321",11.749,11.546,11.648,0.804,9.412e-11,7.444e-09,"LTBR"
"2760","ENSG00000196743",10.792,10.473,10.633,1.038,9.809e-11,7.689e-09,"GM2A"
"284067","ENSG00000231256",6.538,6.658,6.598,-1.164,1.021e-10,7.97e-09,"CFAP97D1"
"2949","ENSG00000134201",8.769,9.209,8.989,1.265,1.115e-10,8.581e-09,"GSTM5"
"112849","ENSG00000126790",9.388,9.166,9.277,1.262,1.119e-10,8.581e-09,"L3HYPDH"
"7850","ENSG00000115590",6.487,6.329,6.408,1.723,1.112e-10,8.581e-09,"IL1R2"
"2059","ENSG00000151491",11.094,10.548,10.821,0.65,1.159e-10,8.847e-09,"EPS8"
"2828","ENSG00000177464",6.966,7.087,7.026,-1.68,1.43e-10,1.082e-08,"GPR4"
"26155","ENSG00000188976",10.275,10.14,10.208,2.12,1.563e-10,1.178e-08,"NOC2L"
"6905","ENSG00000284770",9.438,9.495,9.467,-1.813,1.659e-10,1.245e-08,"TBCE"
"84823","ENSG00000176619",10.335,10.196,10.266,0.964,1.698e-10,1.269e-08,"LMNB2"
"221476","ENSG00000164530",7.177,7.838,7.508,1.01,1.772e-10,1.319e-08,"PI16"
"160897","ENSG00000152749",8.728,8.619,8.673,1.661,1.805e-10,1.338e-08,"GPR180"
"170463","ENSG00000130511",9.458,9.75,9.604,1.043,1.959e-10,1.446e-08,"SSBP4"
"54677","ENSG00000005469",8.99,9.172,9.081,0.737,1.991e-10,1.463e-08,"CROT"
"51365","ENSG00000144837",6.909,7.142,7.025,1.043,2.181e-10,1.596e-08,"PLA1A"
"25777","ENSG00000100242",12.504,10.889,11.697,-1.18,2.506e-10,1.804e-08,"SUN2"
"388796","ENSG00000196756",8.051,7.783,7.917,1.204,2.497e-10,1.804e-08,"SNHG17"
"53354","ENSG00000152782",7.63,7.813,7.722,0.812,2.479e-10,1.804e-08,"PANK1"
"402778","ENSG00000244242",7.02,6.978,6.999,1.071,2.485e-10,1.804e-08,"IFITM10"
"6738","ENSG00000116747",9.961,9.83,9.895,-1.434,2.539e-10,1.821e-08,"TROVE2"
"84832","ENSG00000214262",6.63,6.442,6.536,0.774,2.614e-10,1.866e-08,"ANKRD36BP1"
"11046","ENSG00000285269",6.786,6.566,6.676,-1.94,2.694e-10,1.916e-08,"AL160269.1"
"121952","ENSG00000250878",6.411,6.403,6.407,0.508,2.708e-10,1.918e-08,"METTL21EP"
"645638","ENSG00000261040",7.224,7.474,7.349,1.771,3.016e-10,2.119e-08,"WFDC21P"
"1059","ENSG00000125817",11.012,10.889,10.951,-0.562,3.178e-10,2.216e-08,"CENPB"
"23243","ENSG00000206560",12.624,12.066,12.345,-2.055,3.355e-10,2.329e-08,"ANKRD28"
"7733","ENSG00000167384",7.864,8.046,7.955,1.428,3.506e-10,2.425e-08,"ZNF180"
"25932","ENSG00000169504",14.431,13.635,14.033,0.636,3.75e-10,2.584e-08,"CLIC4"
"55240","ENSG00000115107",8.628,8.856,8.742,1.198,4.449e-10,3.041e-08,"STEAP3"
"9580","ENSG00000143842",8.344,8.221,8.282,-1.97,4.569e-10,3.112e-08,"SOX13"
"64318","ENSG00000173145",8.939,8.878,8.909,-0.878,4.778e-10,3.241e-08,"NOC3L"
"100505767","ENSG00000205482",6.504,6.601,6.553,7.273,4.878e-10,3.296e-08,"SPDYE18"
"503542","ENSG00000203772",7.678,7.525,7.602,0.731,5.086e-10,3.424e-08,"SPRN"
"64853","ENSG00000186063",12.143,11.759,11.951,1.151,5.53e-10,3.681e-08,"AIDA"
"5973","ENSG00000102032",6.915,6.899,6.907,1.214,6.463e-10,4.285e-08,"RENBP"
"78995","ENSG00000125319",7.008,6.994,7.001,-1.318,6.8e-10,4.492e-08,"C17orf53"
"138639","ENSG00000158079",9.076,8.391,8.733,1.148,7.341e-10,4.813e-08,"PTPDC1"
"56243","ENSG00000120549",7.101,7.466,7.284,4.06,7.948e-10,5.172e-08,"KIAA1217"
"79837","ENSG00000166908",9.019,9.068,9.044,0.904,7.998e-10,5.186e-08,"PIP4K2C"
"100506334","ENSG00000237945",7.232,7.216,7.224,1.452,8.126e-10,5.249e-08,"LINC00649"
"3181","ENSG00000122566",13.09,12.856,12.973,1.509,8.288e-10,5.335e-08,"HNRNPA2B1"
"283742","ENSG00000171262",9.416,9.26,9.338,0.832,8.515e-10,5.461e-08,"FAM98B"
"6331","ENSG00000183873",8.226,7.806,8.016,1.141,8.603e-10,5.497e-08,"SCN5A"
"92255","ENSG00000164187",9.243,9.247,9.245,0.642,8.766e-10,5.581e-08,"LMBRD2"
"101928674","ENSG00000266970",6.517,6.499,6.508,-1.107,8.872e-10,5.628e-08,"AC061992.1"
"5049","ENSG00000168092",10.93,10.55,10.74,-1.185,9.21e-10,5.822e-08,"PAFAH1B2"
"374900","ENSG00000198453",8.163,8.318,8.241,-1.348,9.685e-10,6.1e-08,"ZNF568"
"9025","ENSG00000112130",9.108,8.857,8.982,0.681,1.007e-09,6.318e-08,"RNF8"
"5663","ENSG00000080815",11.102,10.657,10.88,1.879,1.043e-09,6.499e-08,"PSEN1"
"149428","ENSG00000163141",6.499,6.54,6.52,-0.918,1.091e-09,6.775e-08,"BNIPL"
"8764","ENSG00000157873",9.281,9.455,9.368,0.824,1.105e-09,6.837e-08,"TNFRSF14"
"2495","ENSG00000167996",17.212,17.124,17.168,1.261,1.367e-09,8.402e-08,"FTH1"
"599","ENSG00000129473",11.05,10.691,10.87,-0.781,1.385e-09,8.48e-08,"BCL2L2"
"203427","ENSG00000077713",9.644,9.275,9.459,0.843,1.45e-09,8.85e-08,"SLC25A43"
"54682","ENSG00000111261",9.771,9.895,9.833,1.582,1.62e-09,9.85e-08,"MANSC1"
"144983","ENSG00000139675",7.617,7.84,7.728,0.949,1.635e-09,9.908e-08,"HNRNPA1L2"
"57491","ENSG00000063438",9.361,9.756,9.559,-0.914,1.674e-09,1.011e-07,"AHRR"
"10457","ENSG00000136235",14.486,14.877,14.682,0.816,1.733e-09,1.043e-07,"GPNMB"
"619279","ENSG00000164684",8.445,8.148,8.297,-1.678,1.758e-09,1.055e-07,"ZNF704"
"79671","ENSG00000160703",9.087,9.1,9.093,2.499,1.84e-09,1.1e-07,"NLRX1"
"3720","ENSG00000008083",8.901,8.569,8.735,-2.281,1.942e-09,1.157e-07,"JARID2"
"9488","ENSG00000069943",8.727,8.712,8.72,1.581,2.284e-09,1.352e-07,"PIGB"
"355","ENSG00000026103",10.252,10.321,10.286,-0.478,2.359e-09,1.387e-07,"FAS"
"23301","ENSG00000115504",12.146,12.429,12.288,0.987,2.379e-09,1.394e-07,"EHBP1"
"27039","ENSG00000078795",6.583,6.458,6.52,1.743,2.449e-09,1.43e-07,"PKD2L2"
"55341","ENSG00000041802",9.519,9.384,9.452,0.478,2.483e-09,1.445e-07,"LSG1"
"51124","ENSG00000134049",9.528,9.38,9.454,1.133,2.554e-09,1.482e-07,"IER3IP1"
"147949","ENSG00000198440",7.683,7.869,7.776,1.255,2.667e-09,1.537e-07,"ZNF583"
"57465","ENSG00000162065",8.743,8.758,8.751,0.685,2.799e-09,1.603e-07,"TBC1D24"
"2199","ENSG00000163520",14.164,14.293,14.229,-2.468,3.071e-09,1.747e-07,"FBLN2"
"83394","ENSG00000091622",7.015,7.14,7.077,-0.773,3.867e-09,2.179e-07,"PITPNM3"
"51239","ENSG00000213337",7.784,7.778,7.781,0.726,4.064e-09,2.282e-07,"ANKRD39"
"386593","ENSG00000254413",7.056,6.86,6.958,1.309,4.182e-09,2.342e-07,"CHKB-CPT1B"
"284186","ENSG00000185332",6.67,6.533,6.602,-4.099,4.46e-09,2.489e-07,"TMEM105"
"169693","ENSG00000181778",6.946,6.859,6.902,0.89,4.606e-09,2.555e-07,"TMEM252"
"125061","ENSG00000183077",8.845,8.63,8.737,1.1,4.757e-09,2.63e-07,"AFMID"
"150946","ENSG00000157833",8.276,8.295,8.285,1.651,4.856e-09,2.676e-07,"GAREM2"
"347454","ENSG00000187808",6.728,6.585,6.657,0.702,4.987e-09,2.74e-07,"SOWAHD"
"28988","ENSG00000136279",10.996,11.028,11.012,4.037,5.373e-09,2.943e-07,"DBNL"
"284805","ENSG00000198547",6.322,6.383,6.353,1.955,5.437e-09,2.969e-07,"C20orf203"
"23704","ENSG00000152049",8.755,8.646,8.701,3.463,5.567e-09,3.03e-07,"KCNE4"
"64518","ENSG00000125409",6.501,6.683,6.592,0.569,5.984e-09,3.248e-07,"TEKT3"
